x,y,species cloglog values
684.0,684.0,0.8573931
685.0,685.0,0.73768765
686.0,686.0,0.65700155
687.0,687.0,0.53796774
688.0,688.0,0.47196797
689.0,689.0,0.5908847
690.0,690.0,0.8526451
691.0,691.0,0.5908847
692.0,692.0,0.5077112
693.0,693.0,0.63677377
694.0,694.0,0.7111523
695.0,695.0,0.5008408
696.0,696.0,0.5925438
697.0,697.0,0.4153493
698.0,698.0,0.75595087
699.0,699.0,0.5386567
700.0,700.0,0.6884569
701.0,701.0,0.6078383
702.0,702.0,0.756167
703.0,703.0,0.6738821
704.0,704.0,0.73289585
705.0,705.0,0.59785014
706.0,706.0,0.46975356
707.0,707.0,0.6212983
708.0,708.0,0.55514723
709.0,709.0,0.48671904
710.0,710.0,0.6272447
711.0,711.0,0.57536983
712.0,712.0,0.5289202
713.0,713.0,0.59180903
714.0,714.0,0.61976844
715.0,715.0,0.6929864
716.0,716.0,0.71751297
717.0,717.0,0.5100885
718.0,718.0,0.42726606
719.0,719.0,0.6294223
720.0,720.0,0.49779364
721.0,721.0,0.3759246
722.0,722.0,0.5431437
723.0,723.0,0.6548451
724.0,724.0,0.6206984
725.0,725.0,0.7227828
726.0,726.0,0.47317025
727.0,727.0,0.62802875
728.0,728.0,0.5491018
729.0,729.0,0.63853776
730.0,730.0,0.546332
731.0,731.0,0.72795427
732.0,732.0,0.5799605
733.0,733.0,0.59754294
734.0,734.0,0.71717453
735.0,735.0,0.5710325
736.0,736.0,0.66699976
737.0,737.0,0.46271676
738.0,738.0,0.6484073
739.0,739.0,0.70553875
740.0,740.0,0.7294248
741.0,741.0,0.60641134
742.0,742.0,0.65155286
743.0,743.0,0.58761996
744.0,744.0,0.602045
745.0,745.0,0.80365086
746.0,746.0,0.4613021
747.0,747.0,0.8241471
748.0,748.0,0.5883687
749.0,749.0,0.49787
750.0,750.0,0.46622854
751.0,751.0,0.47312307
752.0,752.0,0.56333256
753.0,753.0,0.46003583
754.0,754.0,0.6400448
755.0,755.0,0.66391957
756.0,756.0,0.6276951
757.0,757.0,0.6263107
758.0,758.0,0.46893567
759.0,759.0,0.492323
760.0,760.0,0.7075418
761.0,761.0,0.60408247
762.0,762.0,0.6035577
763.0,763.0,0.63865954
764.0,764.0,0.41521293
765.0,765.0,0.58522254
766.0,766.0,0.65497273
767.0,767.0,0.45765936
768.0,768.0,0.41845533
769.0,769.0,0.6220137
770.0,770.0,0.56321216
771.0,771.0,0.5845708
772.0,772.0,0.6275088
773.0,773.0,0.63718283
774.0,774.0,0.751683
775.0,775.0,0.48340112
776.0,776.0,0.7235099
777.0,777.0,0.51636565
778.0,778.0,0.38149744
779.0,779.0,0.65084726
780.0,780.0,0.70074534
781.0,781.0,0.59504116
782.0,782.0,0.6453765
783.0,783.0,0.6473144
784.0,784.0,0.55470115
785.0,785.0,0.51339
786.0,786.0,0.5085241
787.0,787.0,0.7032471
788.0,788.0,0.47936597
789.0,789.0,0.68183917
790.0,790.0,0.6053856
791.0,791.0,0.6237933
792.0,792.0,0.6317959
793.0,793.0,0.54947376
794.0,794.0,0.42978707
795.0,795.0,0.6454971
796.0,796.0,0.8255884
797.0,797.0,0.6816468
798.0,798.0,0.60427463
799.0,799.0,0.5583998
800.0,800.0,0.4979785
801.0,801.0,0.46166945
802.0,802.0,0.47662914
803.0,803.0,0.49466676
804.0,804.0,0.7040686
805.0,805.0,0.6153581
806.0,806.0,0.60247606
807.0,807.0,0.54168695
808.0,808.0,0.3815086
809.0,809.0,0.45294374
810.0,810.0,0.57367706
811.0,811.0,0.63963044
812.0,812.0,0.6523935
813.0,813.0,0.59574294
814.0,814.0,0.5382883
815.0,815.0,0.55443376
816.0,816.0,0.5949253
817.0,817.0,0.52896315
818.0,818.0,0.601838
819.0,819.0,0.53074396
820.0,820.0,0.56950325
821.0,821.0,0.67781955
822.0,822.0,0.59357333
823.0,823.0,0.6212242
824.0,824.0,0.7401472
825.0,825.0,0.4415366
826.0,826.0,0.47728175
827.0,827.0,0.5882761
828.0,828.0,0.5905353
829.0,829.0,0.5284011
830.0,830.0,0.64343154
831.0,831.0,0.64957505
832.0,832.0,0.65567094
833.0,833.0,0.473478
834.0,834.0,0.52391636
835.0,835.0,0.48628473
836.0,836.0,0.44610757
837.0,837.0,0.5752756
838.0,838.0,0.54668134
839.0,839.0,0.61570865
840.0,840.0,0.6270443
841.0,841.0,0.67262894
842.0,842.0,0.54233634
843.0,843.0,0.5927592
844.0,844.0,0.6289703
845.0,845.0,0.68376
846.0,846.0,0.45387697
847.0,847.0,0.5055191
848.0,848.0,0.5677069
849.0,849.0,0.6184643
850.0,850.0,0.45626825
851.0,851.0,0.7957828
852.0,852.0,0.6362856
853.0,853.0,0.5967103
854.0,854.0,0.6134495
855.0,855.0,0.5784144
856.0,856.0,0.4884259
857.0,857.0,0.67997766
858.0,858.0,0.61572784
859.0,859.0,0.7920715
860.0,860.0,0.51492727
861.0,861.0,0.41565135
862.0,862.0,0.68466157
863.0,863.0,0.5922088
864.0,864.0,0.5966365
865.0,865.0,0.6075267
866.0,866.0,0.60540026
867.0,867.0,0.74926066
868.0,868.0,0.6012768
869.0,869.0,0.4573447
870.0,870.0,0.55578876
871.0,871.0,0.65156883
872.0,872.0,0.4424719
873.0,873.0,0.60440063
874.0,874.0,0.56256753
875.0,875.0,0.5323964
876.0,876.0,0.5765129
877.0,877.0,0.5965371
878.0,878.0,0.5038544
879.0,879.0,0.71052706
880.0,880.0,0.587109
881.0,881.0,0.5539344
882.0,882.0,0.4684762
883.0,883.0,0.65826535
884.0,884.0,0.59397095
885.0,885.0,0.59971416
886.0,886.0,0.59662646
887.0,887.0,0.471195
888.0,888.0,0.4780853
889.0,889.0,0.62214094
890.0,890.0,0.4353081
891.0,891.0,0.7248967
892.0,892.0,0.455573
893.0,893.0,0.6726422
